Site,Banding Date,Time,Disposition,Recap,Band Number,Species,Flag,Cohort,FL&ST,Tail,Culmen,Total Head,Tarsus,Age,Fat,Sex,Mass,Blood ,Feathers,Tag Number,Tag A.ID number,Nest ID,Notes
Nome,24-Jun-22,12:25,1,n,171348943,AMGP,.,Or,187,62,23.5,57.7,44.5,1,,M,138.0,y,y,233849,2545,Nome_AMGP_2204,
Nome,25-Jun-22,9:00,1,n,171348944,AMGP,.,Or,192,59,26.8,58.8,44.5,1,,F,140.0,y,y,233850,2546,Nome_AMGP_2203,
Nome,28-Jun-22,8:40,1,n,129232061,AMGP,.,Or,192,67,22.9,57,45.0,1,,F,136.0,y,y,233851,2547,Nome_AMGP_2204,
Nome,29-Jun-22,9:40,1,n,129232064,AMGP,.,Or,181,63,22.8,55.6,43.3,1,,M,132.0,y,y,233852,2548,Nome_AMGP_2205,bird caught with chicks
Nome,29-Jun-22,22:23,1,n,171348945,AMGP,.,Or,186,65,22.6,57.3,46.8,1,,M,150.0,y,y,233853,2549,Nome_AMGP_2206,
Nome,30-Jun-22,21:00,1,n,171348946,AMGP,.,Or,184,63,23.4,59.3,44.1,1,,M,144.0,y,y,233854,2550,Nome_AMGP_2207,
Utqiagvik,25-Jun-22,21:47,1,n,175301024,AMGP,,"M/Y,LB:_Y/GF",186,.,22.2,55,41.6,1,,M,140.0,y,y,233855,2551,Ut_AMGP_220124,
Utqiagvik,25-Jun-22,11:35,1,n,175301022,AMGP,,"M/O,DB:_Y,GF",196,.,22.2,58.5,45.6,1,,F,166.0,y,y,233856,2552,Ut_AMGP_2201801,
Utqiagvik,25-Jun-22,16:15,1,n,175301023,AMGP,,"M/DG,0:_Y,GF",194,.,12.3,57,44.3,1,,M,150.0,y,y,233857,2553,Ut_AMGP_220133,
Utqiagvik,25-Jun-22,10:45,1,n,172301374,AMGP,,"M/LB,DG:_Y,GF",187,.,23.8,58.6,43.9,1,,M,154.0,y,y,233858,2554,Ut_AMGP_2201801,
Utqiagvik,24-Jun-22,14:25,1,n,172301373,AMGP,,"M/Y,R:_Y,GF",182,.,22.7,48.4,46.3,1,,M,157.0,y,y,233860,2556,Ut_AMGP_220123,
Utqiagvik,24-Jun-22,12:30,1,n,172301372,AMGP,,"M/Y,O/_Y,GF",183,.,21.2,58.8,46.1,1,,M,151.0,y,y,233861,2557,Ut_AMGP_220132,
Utqiagvik,23-Jun-22,12:35,1,n,172301369,AMGP,,"M/LB,O:_Y/GF",177,.,21.8,53.2,40.8,1,,F,168.0,y,y,233862,2558,Ut_AMGP_220130,
Utqiagvik,23-Jun-22,11:43,1,n,172301375,AMGP,,"M/R,DG:_/Y,GF",195,.,21.8,56.3,42.0,1,,M,154.0,y,y,233864,2560,Ut_AMGP_220131,
Utqiagvik,23-Jun-22,16:49,1,n,172301371,AMGP,,"M/LB,Y:_Y/GF",181,.,20.9,56.3,42.0,1,,M,148.0,y,y,233865,2561,Ut_AMGP_220118,
Utqiagvik,23-Jun-22,14:20,1,n,172301370,AMGP,,"M/LB,R:_/Y,GF",188,.,21.8,58.8,42.6,1,,M,95.0,y,y,233866,2562,Ut_AMGP_220129,
